Date,Open,High,Low,Close,Volume,Adj Close
2012-06-05,41.21,42.21,40.44,41.09,1301600,41.09
2012-06-04,41.16,41.62,40.12,41.49,1525100,41.49
2012-06-01,41.61,41.80,39.92,41.02,2355900,41.02
2012-05-31,43.48,43.85,42.14,42.88,2499100,42.88
2012-05-30,44.88,44.88,42.71,43.16,2061700,43.16
2012-05-29,45.80,45.80,44.39,45.26,1567700,45.26
2012-05-25,44.53,45.23,44.52,45.00,2139200,45.00
2012-05-24,45.04,45.32,44.25,44.40,1650000,44.40
2012-05-23,42.21,45.82,41.91,45.15,3128000,45.15
2012-05-22,42.33,44.22,41.99,42.63,2271500,42.63
2012-05-21,40.87,42.63,40.33,42.17,2208700,42.17
2012-05-18,41.57,41.59,39.81,40.66,3278800,40.66
2012-05-17,43.69,43.73,40.73,41.03,2521900,41.03
2012-05-16,42.93,43.84,42.72,43.64,3112900,43.64
2012-05-15,41.81,43.09,41.47,42.65,2558300,42.65
2012-05-14,41.40,42.57,41.01,41.64,1306600,41.64
2012-05-11,40.57,42.05,40.50,41.73,1494900,41.73
2012-05-10,41.19,41.70,40.45,40.79,1546800,40.79
2012-05-09,40.54,41.08,40.10,40.68,1071200,40.68
2012-05-08,40.69,41.30,39.40,41.20,2288500,41.20
2012-05-07,39.80,40.98,39.80,40.97,3029100,40.97
2012-05-04,39.99,40.69,39.75,40.20,4765300,40.20
2012-05-03,42.63,43.50,40.24,40.90,3519600,40.90
2012-05-02,43.25,44.46,42.08,42.63,7645700,42.63
2012-05-01,36.38,37.89,36.07,36.53,4908600,36.53
2012-04-30,36.46,37.54,36.40,37.51,2465500,37.51
2012-04-27,36.24,37.85,35.88,36.87,5913200,36.87
2012-04-26,33.74,34.51,33.27,34.38,1977600,34.38
2012-04-25,33.73,34.10,33.53,33.69,1181900,33.69
2012-04-24,33.79,34.20,33.23,33.38,927200,33.38
2012-04-23,34.72,34.75,33.75,33.94,3340600,33.94
2012-04-20,35.35,35.66,34.94,35.02,1228300,35.02
2012-04-19,35.33,36.43,35.16,35.22,1065200,35.22
2012-04-18,34.78,35.60,34.75,35.44,937400,35.44
2012-04-17,34.16,35.18,33.98,35.00,1941400,35.00
2012-04-16,34.63,34.84,33.74,33.83,918800,33.83
2012-04-13,35.06,35.36,34.39,34.50,559500,34.50
2012-04-12,34.84,35.47,34.75,35.10,1290800,35.10
2012-04-11,35.01,35.41,34.74,34.79,1014600,34.79
2012-04-10,35.45,35.56,34.47,34.58,1154100,34.58
2012-04-09,35.56,35.83,35.16,35.50,1097200,35.50
2012-04-05,36.04,36.93,35.85,36.23,2259000,36.23
2012-04-04,36.41,36.80,35.80,36.25,1635000,36.25
2012-04-03,37.42,37.59,36.54,36.59,1833000,36.59
2012-04-02,35.62,37.78,35.04,37.37,3569600,37.37
2012-03-30,35.28,36.86,35.27,35.67,3047000,35.67
2012-03-29,34.25,35.18,33.92,35.16,1575000,35.16
2012-03-28,35.15,35.73,34.08,34.57,1842600,34.57
2012-03-27,34.30,36.05,33.90,35.29,2897800,35.29
2012-03-26,33.31,34.50,32.86,34.30,2182000,34.30
2012-03-23,33.01,33.36,32.81,33.27,531200,33.27
2012-03-22,33.51,33.76,33.02,33.25,1047200,33.25
2012-03-21,34.17,34.40,33.35,33.77,1316200,33.77
2012-03-20,33.46,34.29,33.46,34.09,1064500,34.09
2012-03-19,33.80,34.15,33.80,34.00,855800,34.00
2012-03-16,32.51,34.92,31.99,34.00,4298000,34.00
2012-03-15,31.14,32.54,30.93,32.47,2319000,32.47
2012-03-14,30.40,31.00,30.23,30.99,1230200,30.99
2012-03-13,30.92,30.99,30.25,30.48,2280100,30.48
2012-03-12,30.73,31.06,30.50,30.70,1490800,30.70
2012-03-09,31.30,31.35,30.56,30.70,705500,30.70
2012-03-08,31.20,31.79,31.14,31.26,1151700,31.26
2012-03-07,31.50,31.66,30.91,31.07,1478100,31.07
2012-03-06,31.50,31.80,30.80,31.42,1034800,31.42
2012-03-05,32.29,32.41,31.81,31.97,648900,31.97
2012-03-02,32.37,33.09,32.04,32.45,1640400,32.45
2012-03-01,31.89,32.88,31.09,32.62,2641400,32.62
2012-02-29,32.32,32.43,31.67,32.23,1356200,32.23
2012-02-28,32.09,33.49,32.00,32.31,2442000,32.31
2012-02-27,31.38,32.08,31.14,31.91,1438400,31.91
2012-02-24,30.19,32.00,30.19,31.80,1904100,31.80
2012-02-23,30.06,30.69,29.56,30.59,2041700,30.59
2012-02-22,30.95,30.95,29.85,30.00,3275500,30.00
2012-02-21,30.61,30.74,30.12,30.67,2462700,30.67
2012-02-17,30.50,30.94,29.95,30.70,1939900,30.70
2012-02-16,29.27,30.65,28.73,30.40,2583300,30.40
2012-02-15,27.80,30.10,27.52,29.28,4922800,29.28
2012-02-14,28.70,28.79,26.93,27.63,4072100,27.63
2012-02-13,30.07,30.13,28.50,28.59,2396400,28.59
2012-02-10,29.02,30.89,28.65,30.04,3623600,30.04
2012-02-09,28.28,29.85,27.99,29.34,12923400,29.34
2012-02-08,34.78,34.97,33.02,34.34,3220900,34.34
2012-02-07,35.28,35.48,34.82,34.84,2235900,34.84
2012-02-06,35.35,35.75,35.06,35.15,1968000,35.15
2012-02-03,35.07,35.93,35.07,35.38,2993500,35.38
2012-02-02,35.28,35.60,33.83,34.88,2447800,34.88
2012-02-01,33.11,35.17,33.08,35.06,3610100,35.06
2012-01-31,30.84,33.04,30.84,32.91,1261100,32.91
2012-01-30,30.96,31.84,30.64,31.64,904500,31.64
2012-01-27,30.39,31.46,30.35,31.24,1227500,31.24
2012-01-26,31.48,31.94,30.46,31.05,1881500,31.05
2012-01-25,30.55,32.33,30.55,31.49,2349300,31.49
2012-01-24,30.14,30.75,29.97,30.69,1299100,30.69
2012-01-23,30.54,30.79,30.23,30.38,2565400,30.38
2012-01-20,30.42,30.49,29.82,30.40,1307600,30.40
2012-01-19,29.10,30.89,29.02,30.33,2712900,30.33
2012-01-18,28.69,29.43,28.52,29.03,1205200,29.03
2012-01-17,29.58,29.80,28.91,28.99,3210100,28.99
2012-01-13,28.22,29.77,27.93,29.51,1993400,29.51
2012-01-12,27.87,29.17,27.80,28.46,2005600,28.46
2012-01-11,26.69,28.22,26.56,27.79,1803300,27.79
2012-01-10,26.73,28.24,26.59,27.75,4177500,27.75
2012-01-09,25.74,26.77,25.65,26.26,1965300,26.26
2012-01-06,25.52,26.02,25.17,25.57,1484800,25.57
2012-01-05,24.57,25.82,24.57,25.52,1534700,25.52
2012-01-04,25.82,26.09,25.41,25.68,1681000,25.68
2012-01-03,26.15,27.35,26.11,26.63,3721800,26.63
2011-12-30,24.97,25.55,24.64,25.21,1798400,25.21
2011-12-29,25.54,25.66,24.79,24.82,2247300,24.82
2011-12-28,25.25,25.98,24.94,25.77,2098600,25.77
2011-12-27,25.36,26.10,24.63,25.94,2887400,25.94
2011-12-23,24.71,27.14,24.50,26.02,2744200,26.02
2011-12-22,27.12,27.60,23.99,24.53,6294100,24.53
2011-12-21,30.00,30.00,27.51,27.67,2871800,27.67
2011-12-20,29.50,30.62,29.47,30.25,2017200,30.25
2011-12-19,28.69,29.46,28.41,28.97,1048500,28.97
2011-12-16,29.92,29.92,28.00,28.46,966700,28.46
2011-12-15,27.87,29.10,27.60,28.33,1417600,28.33
2011-12-14,28.19,28.19,26.85,27.12,444400,27.12
2011-12-13,28.53,28.53,27.01,27.50,452500,27.50
2011-12-12,28.28,28.28,27.00,27.45,393300,27.45
2011-12-09,27.93,28.00,26.70,27.91,716200,27.91
2011-12-08,26.06,27.78,25.76,26.55,719600,26.55
2011-12-07,27.50,27.76,24.00,27.45,1413700,27.45
