Date,Open,High,Low,Close,Volume,Adj Close
2012-06-18,401.08,414.46,399.00,414.46,521600,414.46
2012-06-15,399.70,404.41,396.41,402.45,801700,402.45
2012-06-14,397.60,400.91,393.65,398.25,533800,398.25
2012-06-13,397.27,402.95,394.25,395.80,549900,395.80
2012-06-12,399.42,402.73,395.50,400.19,432500,400.19
2012-06-11,410.30,410.99,398.31,398.35,477000,398.35
2012-06-08,401.33,408.19,399.46,407.34,511200,407.34
2012-06-07,414.99,414.99,403.31,404.06,490600,404.06
2012-06-06,405.65,412.79,405.65,411.21,485600,411.21
2012-06-05,394.10,403.36,392.68,401.84,465300,401.84
2012-06-04,396.16,397.96,387.87,397.09,486100,397.09
2012-06-01,404.87,408.94,394.00,397.14,657000,397.14
2012-05-31,412.44,413.81,407.36,413.07,384000,413.07
2012-05-30,413.95,415.97,410.21,412.60,424400,412.60
2012-05-29,403.58,417.90,403.58,417.73,866800,417.73
2012-05-25,401.90,404.18,398.63,400.42,370300,400.42
2012-05-24,408.04,408.63,397.69,401.61,571700,401.61
2012-05-23,394.91,406.41,390.56,405.95,698000,405.95
2012-05-22,401.35,405.73,391.59,395.56,1147700,395.56
2012-05-21,391.50,395.38,384.49,393.33,676200,393.33
2012-05-18,394.42,399.90,390.00,392.13,574100,392.13
2012-05-17,406.24,407.00,394.50,394.50,633700,394.50
2012-05-16,405.10,409.33,402.51,404.53,421500,404.53
2012-05-15,400.02,407.00,399.89,403.03,457900,403.03
2012-05-14,405.80,407.22,399.01,399.92,470300,399.92
2012-05-11,404.33,413.29,403.68,408.25,467000,408.25
2012-05-10,404.25,409.50,402.67,407.51,560700,407.51
2012-05-09,396.00,405.73,396.00,401.78,635700,401.78
2012-05-08,405.25,405.80,392.10,403.43,809200,403.43
2012-05-07,405.64,410.60,403.25,407.06,395000,407.06
2012-05-04,412.76,413.04,406.30,407.88,713300,407.88
2012-05-03,423.30,423.64,413.37,414.74,505000,414.74
2012-05-02,417.92,424.41,416.11,422.80,467400,422.80
2012-05-01,415.41,424.15,414.59,419.89,501400,419.89
2012-04-30,418.47,419.39,412.78,414.15,325300,414.15
2012-04-27,415.00,421.00,412.25,419.41,588200,419.41
2012-04-26,412.18,418.49,410.03,414.74,591800,414.74
2012-04-25,405.50,413.65,405.03,412.99,583200,412.99
2012-04-24,411.96,414.00,401.03,402.86,1207800,402.86
2012-04-23,413.90,417.66,406.38,417.24,1340800,417.24
2012-04-20,429.48,433.30,416.01,419.26,2031300,419.26
2012-04-19,439.23,439.42,428.26,430.78,838600,430.78
2012-04-18,432.25,440.93,431.99,438.11,500800,438.11
2012-04-17,434.95,434.95,429.04,432.43,627300,432.43
2012-04-16,439.47,441.78,428.76,432.12,832400,432.12
2012-04-13,433.80,442.40,429.02,440.40,948600,440.40
2012-04-12,423.97,433.53,423.05,433.22,807900,433.22
2012-04-11,421.40,426.66,421.00,422.66,698000,422.66
2012-04-10,425.08,428.95,414.59,416.62,750100,416.62
2012-04-09,420.50,427.13,420.50,426.31,461700,426.31
2012-04-05,415.09,424.99,414.97,424.98,539400,424.98
2012-04-04,419.23,420.91,411.12,417.04,678900,417.04
2012-04-03,417.58,422.43,417.58,422.26,482800,422.26
2012-04-02,417.00,421.41,413.54,418.40,381300,418.40
2012-03-30,424.84,424.84,418.00,418.00,348400,418.00
2012-03-29,419.11,421.03,415.00,420.62,342000,420.62
2012-03-28,422.24,424.40,416.72,420.09,364300,420.09
2012-03-27,424.82,426.57,421.00,421.37,527500,421.37
2012-03-26,417.49,425.58,417.00,424.70,444600,424.70
2012-03-23,416.71,417.57,411.97,415.51,459900,415.51
2012-03-22,414.45,418.81,413.53,418.13,477000,418.13
2012-03-21,413.25,417.18,412.97,416.11,398700,416.11
2012-03-20,411.00,414.45,409.27,412.87,358500,412.87
2012-03-19,410.29,414.23,407.15,413.92,376700,413.92
2012-03-16,409.77,410.95,405.53,410.91,531700,410.91
2012-03-15,400.75,408.31,399.59,407.08,554500,407.08
2012-03-14,400.88,401.52,397.65,400.00,271600,400.00
2012-03-13,400.07,400.07,396.44,400.05,307200,400.05
2012-03-12,398.98,401.37,395.66,397.52,367000,397.52
2012-03-09,399.10,400.00,396.51,398.12,362400,398.12
2012-03-08,393.00,399.56,392.23,398.18,345800,398.18
2012-03-07,389.48,393.48,387.09,392.10,299400,392.10
2012-03-06,388.40,389.49,386.44,387.30,531600,387.30
2012-03-05,394.29,396.64,391.58,392.98,376800,392.98
2012-03-02,393.50,394.79,391.98,394.39,303000,394.39
2012-03-01,391.85,394.75,388.00,394.10,387700,394.10
2012-02-29,390.90,392.00,387.34,390.22,355100,390.22
2012-02-28,389.60,392.35,387.51,391.96,356600,391.96
2012-02-27,385.94,390.41,385.21,388.89,344600,388.89
2012-02-24,387.76,387.99,384.85,387.42,311200,387.42
2012-02-23,383.65,387.75,383.50,386.80,332200,386.80
2012-02-22,383.00,386.73,381.12,384.95,403500,384.95
2012-02-21,382.80,387.00,380.14,383.58,687400,383.58
2012-02-17,381.47,385.34,380.00,384.70,577900,384.70
2012-02-16,375.25,383.06,375.00,382.04,506000,382.04
2012-02-15,380.49,383.38,373.60,375.73,757200,375.73
2012-02-14,377.23,379.45,375.01,378.94,389700,378.94
2012-02-13,378.70,379.91,375.19,377.45,391500,377.45
2012-02-10,372.93,376.63,372.46,376.45,311300,376.45
2012-02-09,375.50,377.75,372.27,376.49,484800,376.49
2012-02-08,374.03,375.25,370.90,374.02,408700,374.02
2012-02-07,371.02,374.97,370.07,374.02,383700,374.02
2012-02-06,370.00,374.92,369.51,371.63,537300,371.63
2012-02-03,367.18,373.20,366.03,372.19,810000,372.19
2012-02-02,366.19,373.37,358.60,362.82,1413500,362.82
2012-02-01,368.00,371.62,364.41,370.41,873400,370.41
2012-01-31,368.39,369.72,365.52,367.29,350800,367.29
2012-01-30,364.90,368.25,364.10,367.69,288100,367.69
2012-01-27,364.05,368.36,362.31,366.76,279300,366.76
2012-01-26,364.12,370.35,363.02,365.81,491200,365.81
2012-01-25,359.89,364.85,359.00,363.14,491300,363.14
2012-01-24,358.40,361.10,357.02,360.60,373300,360.60
2012-01-23,356.84,363.32,356.37,360.46,480600,360.46
2012-01-20,356.60,358.55,354.10,356.39,383400,356.39
2012-01-19,356.71,359.48,355.54,358.09,331900,358.09
2012-01-18,354.20,357.75,351.90,356.82,323900,356.82
2012-01-17,356.84,357.75,353.16,353.38,351300,353.38
2012-01-13,350.26,355.00,350.00,354.62,697100,354.62
2012-01-12,347.61,348.51,343.80,347.62,384900,347.62
2012-01-11,340.00,347.92,338.24,347.60,573900,347.60
2012-01-10,343.82,344.34,336.55,341.12,503500,341.12
2012-01-09,349.00,349.49,336.29,339.74,748600,339.74
2012-01-06,348.88,352.63,347.35,348.95,370700,348.95
2012-01-05,346.88,351.98,342.57,350.48,672300,350.48
2012-01-04,346.00,349.98,345.01,348.75,743100,348.75
2012-01-03,343.70,350.49,340.00,341.27,728100,341.27
2011-12-30,340.98,341.81,337.74,337.74,223200,337.74
2011-12-29,340.00,342.00,338.66,340.77,292700,340.77
2011-12-28,338.64,340.50,336.67,340.14,396600,340.14
2011-12-27,335.00,339.94,333.12,339.00,272600,339.00
2011-12-23,332.68,335.32,331.40,335.32,200600,335.32
2011-12-22,334.98,336.15,329.80,331.25,245400,331.25
2011-12-21,331.60,334.60,330.09,334.06,335000,334.06
2011-12-20,322.20,332.00,321.47,331.72,513900,331.72
2011-12-19,320.68,321.51,317.19,317.77,363300,317.77
2011-12-16,319.70,321.94,316.80,318.40,554000,318.40
2011-12-15,324.48,324.50,316.74,318.52,505500,318.52
2011-12-14,327.70,329.93,319.21,321.11,599700,321.11
2011-12-13,340.00,340.11,328.50,329.51,678700,329.51
2011-12-12,335.38,341.28,334.35,340.22,529700,340.22
2011-12-09,335.68,339.98,332.91,338.60,478300,338.60
2011-12-08,334.91,339.23,333.54,334.74,587500,334.74
2011-12-07,330.15,338.10,328.15,336.75,597400,336.75
2011-12-06,334.00,334.83,329.26,331.43,455300,331.43
2011-12-05,334.15,338.68,333.03,336.21,817700,336.21
2011-12-02,324.98,333.33,323.81,330.49,786700,330.49
2011-12-01,318.50,324.09,315.93,323.04,581600,323.04
2011-11-30,320.21,321.70,316.27,321.56,709200,321.56
2011-11-29,310.02,313.82,309.31,312.97,395100,312.97
2011-11-28,309.50,313.38,307.25,309.55,474200,309.55
2011-11-25,300.00,304.89,300.00,300.75,219900,300.75
2011-11-23,306.67,308.75,300.45,300.45,459500,300.45
2011-11-22,304.19,312.22,304.19,308.38,525400,308.38
2011-11-21,306.43,308.48,302.68,305.58,498000,305.58
2011-11-18,314.30,315.90,308.26,311.06,506100,311.06
2011-11-17,316.71,319.64,310.00,313.61,710200,313.61
2011-11-16,325.03,326.95,315.01,316.67,791900,316.67
2011-11-15,326.00,329.11,322.51,327.46,496600,327.46
2011-11-14,330.75,334.34,326.33,327.03,464600,327.03
2011-11-11,329.82,333.16,325.28,332.02,507800,332.02
2011-11-10,336.92,336.95,324.53,325.88,751100,325.88
2011-11-09,333.01,338.07,331.68,332.84,474900,332.84
2011-11-08,341.00,342.74,335.00,339.87,443800,339.87
2011-11-07,338.87,341.61,336.09,339.16,419800,339.16
2011-11-04,334.31,339.94,334.31,338.97,491800,338.97
2011-11-03,333.63,338.66,329.06,337.50,869200,337.50
2011-11-02,332.99,332.99,324.93,329.62,562300,329.62
2011-11-01,326.64,334.27,324.00,328.18,882600,328.18
2011-10-31,338.98,347.94,336.05,336.12,1015000,336.12
2011-10-28,341.32,344.98,338.33,341.40,496900,341.40
2011-10-27,341.25,345.92,335.02,343.52,747600,343.52
2011-10-26,338.96,339.50,330.02,332.85,747000,332.85
2011-10-25,339.59,343.00,334.03,334.18,878800,334.18
2011-10-24,334.00,342.98,332.40,342.49,1117300,342.49
2011-10-21,320.07,333.50,318.41,333.49,2661100,333.49
2011-10-20,308.97,312.29,306.06,307.91,1232800,307.91
2011-10-19,319.47,319.99,309.17,310.27,758300,310.27
2011-10-18,320.50,321.06,310.28,319.85,584800,319.85
2011-10-17,319.60,324.33,317.09,319.79,613900,319.79
2011-10-14,320.00,321.66,314.72,320.80,699000,320.80
2011-10-13,311.36,318.98,311.36,317.31,688400,317.31
2011-10-12,313.47,318.05,311.00,314.00,828600,314.00
2011-10-11,305.02,315.00,305.01,309.95,682700,309.95
2011-10-10,298.77,311.84,298.50,307.85,741600,307.85
2011-10-07,296.98,298.56,290.54,294.59,995000,294.59
2011-10-06,292.75,301.22,289.08,298.99,1549800,298.99
2011-10-05,300.92,302.36,292.00,300.79,1039000,300.79
2011-10-04,290.00,302.96,285.39,301.09,1400000,301.09
2011-10-03,300.81,306.60,291.48,292.70,969500,292.70
2011-09-30,308.09,312.94,301.80,302.95,858200,302.95
2011-09-29,323.82,324.65,303.34,313.14,1190800,313.14
2011-09-28,322.47,328.35,318.00,319.06,782900,319.06
2011-09-27,334.48,334.48,319.53,320.61,941500,320.61
2011-09-26,324.74,329.97,310.00,329.44,1047300,329.44
2011-09-23,322.79,323.83,313.58,320.50,1244500,320.50
2011-09-22,325.03,334.74,320.75,325.94,1762400,325.94
2011-09-21,331.03,343.48,329.34,333.25,2014000,333.25
2011-09-20,337.03,346.78,332.00,333.19,2035500,333.19
2011-09-19,315.50,338.32,314.20,336.14,1572400,336.14
2011-09-16,316.57,318.19,314.02,318.06,567100,318.06
2011-09-15,318.00,319.00,312.25,316.15,667800,316.15
2011-09-14,312.98,319.66,308.90,315.91,956000,315.91
2011-09-13,306.31,312.18,306.31,311.41,592300,311.41
2011-09-12,301.81,309.44,300.82,307.75,697200,307.75
2011-09-09,308.05,309.60,300.53,305.17,923600,305.17
2011-09-08,307.38,315.85,306.34,311.34,761600,311.34
2011-09-07,313.90,313.90,307.10,308.69,774800,308.69
2011-09-06,298.97,310.98,297.70,310.43,850800,310.43
2011-09-02,302.43,309.93,300.57,305.50,625000,305.50
2011-09-01,314.03,316.00,308.05,309.17,538800,309.17
2011-08-31,313.66,318.00,310.23,313.37,892500,313.37
2011-08-30,304.70,313.17,302.65,311.21,746700,311.21
2011-08-29,300.75,307.57,300.75,305.25,731400,305.25
2011-08-26,288.96,300.79,285.00,298.88,894300,298.88
2011-08-25,298.36,299.99,288.20,289.24,686200,289.24
2011-08-24,294.95,299.98,290.02,296.46,1166400,296.46
2011-08-23,275.49,295.60,275.49,294.56,1476200,294.56
2011-08-22,283.13,286.60,271.53,273.20,1563900,273.20
2011-08-19,281.60,292.43,277.00,279.37,1762100,279.37
2011-08-18,301.55,301.94,279.00,284.50,1890800,284.50
2011-08-17,317.05,317.87,305.51,309.44,698900,309.44
2011-08-16,317.62,318.83,312.27,315.89,531800,315.89
2011-08-15,319.50,321.58,314.02,319.68,521600,319.68
2011-08-12,319.04,320.97,314.63,317.70,643800,317.70
2011-08-11,303.36,318.66,303.25,316.28,1199300,316.28
2011-08-10,298.61,309.20,295.00,299.76,1401500,299.76
2011-08-09,294.02,304.00,287.52,302.56,1451300,302.56
2011-08-08,303.20,305.21,291.20,291.70,1410600,291.70
2011-08-05,314.34,317.81,301.11,311.52,1240800,311.52
2011-08-04,322.50,325.88,311.40,311.40,1263900,311.40
2011-08-03,321.01,327.00,313.08,325.58,1070500,325.58
2011-08-02,325.62,330.59,320.29,320.65,607300,320.65
2011-08-01,328.97,329.99,323.09,327.55,511700,327.55
2011-07-29,320.89,327.57,317.85,324.58,784300,324.58
2011-07-28,323.00,329.00,323.00,324.16,525500,324.16
2011-07-27,329.18,329.79,321.80,322.74,828100,322.74
2011-07-26,333.44,336.88,330.75,331.40,466200,331.40
2011-07-25,332.79,337.32,332.00,334.46,540800,334.46
2011-07-22,329.66,336.71,328.09,335.52,1019800,335.52
2011-07-21,330.50,332.43,325.76,328.22,821500,328.22
2011-07-20,324.75,332.00,323.67,330.02,1872700,330.02
2011-07-19,330.20,333.71,325.30,333.71,1473500,333.71
2011-07-18,324.78,328.36,322.62,327.99,764200,327.99
2011-07-15,325.06,326.18,320.12,324.60,834300,324.60
2011-07-14,327.44,329.69,320.31,324.63,830400,324.63
2011-07-13,322.31,328.28,321.33,325.18,931800,325.18
2011-07-12,320.46,323.50,318.54,319.71,644200,319.71
2011-07-11,321.70,326.46,318.38,320.69,789000,320.69
2011-07-08,324.75,328.17,321.70,325.30,1025100,325.30
2011-07-07,326.66,329.80,323.94,328.49,913100,328.49
2011-07-06,320.88,325.76,319.56,324.94,865800,324.94
2011-07-05,315.98,322.63,314.29,321.45,881900,321.45
2011-07-01,307.24,316.85,305.88,315.72,827000,315.72
2011-06-30,305.24,308.55,304.25,308.19,606200,308.19
2011-06-29,306.50,308.93,303.19,304.46,661400,304.46
2011-06-28,302.50,305.30,300.33,304.72,825800,304.72
2011-06-27,293.26,302.72,291.08,301.46,1177300,301.46
2011-06-24,292.38,297.00,290.51,293.25,1088100,293.25
2011-06-23,281.65,291.55,280.80,290.78,1016400,290.78
2011-06-22,285.12,289.82,284.42,284.46,546000,284.46
2011-06-21,277.16,285.90,277.04,285.25,838700,285.25
2011-06-20,268.00,277.25,267.43,276.05,629200,276.05
2011-06-17,274.00,275.44,268.87,268.97,940300,268.97
2011-06-16,277.30,277.30,269.42,271.81,789100,271.81
2011-06-15,274.75,278.78,273.07,277.30,669100,277.30
2011-06-14,273.81,277.94,272.45,276.77,530800,276.77
2011-06-13,271.99,275.64,268.09,270.90,627100,270.90
2011-06-10,277.31,279.02,271.30,271.87,766800,271.87
2011-06-09,276.90,279.06,273.62,277.87,446500,277.87
2011-06-08,279.82,283.92,276.12,277.11,655300,277.11
2011-06-07,281.99,284.87,280.24,281.30,406000,281.30
2011-06-06,285.01,290.19,280.26,280.74,673900,280.74
2011-06-03,281.95,291.89,281.02,286.51,1024800,286.51
2011-06-02,287.13,288.69,282.08,285.79,826100,285.79
2011-06-01,288.50,291.40,285.00,285.56,591600,285.56
2011-05-31,294.53,295.99,287.23,289.07,775300,289.07
2011-05-27,291.02,293.99,288.25,292.94,765100,292.94
2011-05-26,284.80,291.21,282.22,290.88,1034800,290.88
2011-05-25,280.30,285.98,278.99,284.11,574900,284.11
2011-05-24,284.24,284.43,279.32,280.57,545500,280.57
2011-05-23,277.52,285.25,275.51,283.33,916400,283.33
2011-05-20,279.99,281.17,276.04,279.89,677500,279.89
2011-05-19,280.80,282.61,277.54,281.12,538700,281.12
2011-05-18,275.17,280.03,274.38,278.75,513800,278.75
2011-05-17,271.00,275.11,268.25,274.51,790800,274.51
2011-05-16,278.70,279.88,272.12,272.69,806900,272.69
2011-05-13,276.16,281.98,275.90,280.40,1024800,280.40
2011-05-12,272.07,278.91,271.33,275.88,922000,275.88
2011-05-11,270.00,275.90,269.00,274.30,1163300,274.30
2011-05-10,266.35,269.98,266.28,269.85,504500,269.85
2011-05-09,268.10,268.82,264.04,266.41,651000,266.41
2011-05-06,270.11,272.46,266.51,268.10,850800,268.10
2011-05-05,258.40,269.08,257.39,265.77,1076400,265.77
2011-05-04,257.10,261.40,249.58,260.53,1393000,260.53
2011-05-03,266.14,267.76,257.79,260.41,914100,260.41
2011-05-02,268.80,270.00,264.05,267.08,761800,267.08
2011-04-29,265.66,268.00,264.29,266.79,664000,266.79
2011-04-28,261.90,267.87,260.12,265.64,1111000,265.64
2011-04-27,265.60,268.90,263.00,263.00,8272000,263.00
2011-04-26,273.00,273.88,264.01,264.94,1200000,264.94
2011-04-25,275.54,276.91,271.39,272.65,934700,272.65
2011-04-21,282.48,283.00,270.81,277.30,3514000,277.30
2011-04-20,283.49,289.35,280.45,288.10,2219000,288.10
2011-04-19,283.31,285.95,279.27,279.85,861800,279.85
2011-04-18,282.06,285.08,279.00,283.37,787100,283.37
2011-04-15,283.99,285.45,280.50,285.13,910700,285.13
2011-04-14,280.11,285.97,278.55,282.91,935800,282.91
2011-04-13,277.72,282.76,275.12,281.31,1113400,281.31
2011-04-12,265.88,277.15,265.07,274.30,1151200,274.30
2011-04-11,268.60,271.59,265.00,268.41,475000,268.41
2011-04-08,275.97,277.18,267.31,269.24,880100,269.24
2011-04-07,273.00,277.88,272.16,274.70,566000,274.70
2011-04-06,280.05,282.00,272.07,275.76,846100,275.76
2011-04-05,272.14,280.58,271.03,278.02,918700,278.02
2011-04-04,276.00,277.77,270.21,273.91,662600,273.91
2011-04-01,273.26,278.00,271.00,274.00,1073900,274.00
2011-03-31,270.30,273.92,268.32,272.37,642200,272.37
2011-03-30,271.52,272.95,266.55,272.20,1198800,272.20
2011-03-29,256.99,266.54,256.21,266.12,1166500,266.12
2011-03-28,258.27,263.53,254.05,257.96,1012400,257.96
2011-03-25,251.82,259.00,250.01,256.74,882600,256.74
2011-03-24,249.21,251.00,245.45,250.98,791300,250.98
2011-03-23,244.32,247.46,240.09,246.98,713400,246.98
2011-03-22,248.50,250.00,243.09,243.89,932600,243.89
2011-03-21,250.00,250.78,245.04,247.50,667800,247.50
2011-03-18,256.00,256.02,243.71,246.81,1065300,246.81
2011-03-17,263.00,263.00,251.02,251.66,1003300,251.66
2011-03-16,258.84,264.10,255.40,258.22,1284000,258.22
2011-03-15,249.85,259.99,249.00,258.00,1123400,258.00
2011-03-14,251.06,256.85,248.60,255.25,759700,255.25
2011-03-11,251.55,255.66,248.33,252.76,687300,252.76
2011-03-10,247.35,256.27,244.00,253.22,1232600,253.22
2011-03-09,248.70,253.09,245.10,251.41,686500,251.41
2011-03-08,245.42,252.55,242.19,249.67,1014400,249.67
2011-03-07,255.48,258.64,246.66,252.56,1080500,252.56
2011-03-04,247.60,255.94,247.00,255.00,1192000,255.00
2011-03-03,246.11,250.95,246.00,246.85,774400,246.85
2011-03-02,242.16,243.38,234.48,242.82,1008300,242.82
2011-03-01,243.00,244.44,238.67,241.15,673500,241.15
2011-02-28,250.85,252.73,243.64,245.00,710600,245.00
2011-02-25,247.00,255.00,246.29,248.36,836100,248.36
2011-02-24,242.50,246.98,238.14,245.30,1014800,245.30
2011-02-23,251.06,251.88,235.00,244.19,1648700,244.19
2011-02-22,256.27,259.55,251.17,251.90,893200,251.90
2011-02-18,265.73,266.81,258.78,260.15,1234400,260.15
2011-02-17,264.43,268.00,262.84,265.54,789700,265.54
2011-02-16,267.51,270.51,262.45,264.01,1333700,264.01
2011-02-15,270.80,273.27,264.40,265.58,1228400,265.58
2011-02-14,269.42,275.00,265.90,272.95,1430200,272.95
2011-02-11,248.91,274.85,243.36,268.73,7349100,268.73
2011-02-10,253.45,258.42,252.28,256.63,2081100,256.63
2011-02-09,247.60,256.90,247.02,252.51,1153000,252.51
2011-02-08,244.50,248.69,243.30,247.26,886600,247.26
2011-02-07,248.27,251.75,245.11,247.55,912800,247.55
2011-02-04,240.41,251.69,239.55,246.31,1711900,246.31
2011-02-03,228.35,240.00,228.35,239.22,1119900,239.22
2011-02-02,221.62,229.25,220.10,228.90,689500,228.90
2011-02-01,219.94,223.81,217.20,221.90,602600,221.90
2011-01-31,221.14,224.45,218.09,218.92,482000,218.92
2011-01-28,226.91,227.98,217.00,219.43,620400,219.43
2011-01-27,218.08,227.49,216.06,225.52,797400,225.52
2011-01-26,217.53,219.28,213.06,217.74,834000,217.74
2011-01-25,220.00,222.00,217.81,221.99,380100,221.99
2011-01-24,224.83,224.85,217.36,220.46,515200,220.46
2011-01-21,225.51,225.99,221.70,223.63,543700,223.63
2011-01-20,227.34,227.63,222.01,223.04,657700,223.04
2011-01-19,232.45,233.30,228.00,229.33,632900,229.33
2011-01-18,235.96,237.12,230.11,232.70,581900,232.70
2011-01-14,229.35,234.91,228.22,234.89,1218000,234.89
2011-01-13,220.01,229.74,219.05,229.64,1421800,229.64
2011-01-12,222.83,223.30,217.00,217.67,772600,217.67
2011-01-11,226.15,227.36,218.56,220.79,1039700,220.79
2011-01-10,223.40,224.94,219.04,223.67,490700,223.67
2011-01-07,227.98,227.98,220.00,224.26,593200,224.26
2011-01-06,227.21,229.80,225.43,226.50,1047500,226.50
2011-01-05,221.47,224.17,220.03,221.00,530600,221.00
2011-01-04,222.61,228.47,216.96,222.37,1324800,222.37
2011-01-03,215.26,224.84,214.16,223.63,1217000,223.63
2010-12-31,217.41,217.91,212.58,212.66,653400,212.66
2010-12-30,220.14,221.98,217.05,217.77,521000,217.77
2010-12-29,220.70,223.52,219.41,221.06,554400,221.06
2010-12-28,222.72,224.99,219.03,220.04,921400,220.04
2010-12-27,223.50,225.46,219.37,222.73,1154800,222.73
2010-12-23,231.70,233.96,227.36,228.29,520700,228.29
2010-12-22,234.17,234.61,231.30,231.78,541300,231.78
2010-12-21,236.77,237.70,232.68,234.36,645800,234.36
2010-12-20,239.85,240.40,233.50,236.10,685100,236.10
2010-12-17,236.18,239.95,233.23,238.02,1099600,238.02
2010-12-16,229.57,235.64,229.23,234.77,1029900,234.77
2010-12-15,227.32,234.85,225.50,226.79,1096400,226.79
2010-12-14,225.56,230.60,221.41,227.90,1316800,227.90
2010-12-13,239.67,239.74,225.73,226.11,1209000,226.11
2010-12-10,236.21,239.00,234.39,238.22,494200,238.22
2010-12-09,238.75,238.89,232.02,235.63,818400,235.63
2010-12-08,242.39,242.79,234.25,236.17,828600,236.17
2010-12-07,245.97,245.97,239.04,241.54,1014300,241.54
2010-12-06,235.28,242.22,233.42,241.06,1457700,241.06
2010-12-03,244.14,247.38,231.00,235.95,4049700,235.95
2010-12-02,258.33,258.75,249.18,250.96,1657000,250.96
2010-12-01,261.54,262.00,255.00,258.82,1266800,258.82
2010-11-30,256.14,262.77,255.36,258.49,2382400,258.49
2010-11-29,254.74,257.79,250.13,257.01,970700,257.01
2010-11-26,249.00,256.49,248.41,255.65,784500,255.65
2010-11-24,248.02,250.51,247.22,250.19,957200,250.19
2010-11-23,240.74,244.10,238.66,243.90,892000,243.90
2010-11-22,232.04,243.98,231.09,242.92,1331900,242.92
2010-11-19,229.94,232.96,228.01,232.27,748000,232.27
2010-11-18,230.69,231.99,226.80,227.64,1097800,227.64
2010-11-17,225.00,231.80,224.50,230.96,650500,230.96
2010-11-16,229.58,232.95,223.01,225.09,935000,225.09
2010-11-15,236.14,236.65,230.02,230.37,705000,230.37
2010-11-12,236.51,239.88,230.70,234.02,1082400,234.02
